Species	ERAS6_Dag42	ERAS7_Dag8	ERAS11_Dag180	ERAS3_Dag180	ERAS9_Dag42	ERAS9_Dag4	ERAS7_Dag4opt	ERAS2_Dag0	ERAS2_Dag42	ERAS2_Dag180	ERAS4_Dag0	ERAS3_Dag4	ERAS9_Dag8	ERAS7_Dag0	ERAS11_Dag8	ERAS11_Dag4opt	ERAS4_Dag180	ERAS5_Dag4	ERAS3_Dag0	ERAS9_Dag0	ERAS11_Dag42	ERAS5_Dag180	ERAS5_Dag0	ERAS5_Dag42	ERAS6_Dag8opt	ERAS2_Dag8	ERAS4_Dag4opt	ERAS6_Dag4opt	ERAS6_Dag180	ERAS7_Dag42	ERAS2_Dag4opt	ERAS4_Dag42	ERAS3_Dag42	ERAS7_Dag180	ERAS11_Dag0	ERAS4_Dag8opt	ERAS5_Dag8	ERAS6_Dag0	ERAS3_Dag8	ERAS9_Dag180	ERAS8_Dag180	ERAS10_Dag0	ERAS12_Dag180	ERAS12_Dag2	ERAS8_Dag8	ERAS12_Dag4opt	ERAS8_Dag0	ERAS12_Dag42	ERAS1_Dag8	ERAS12_Dag0	ERAS1_Dag42	ERAS10_Dag180	ERAS10_Dag8	ERAS1_Dag0	ERAS8_Dag42	ERAS1_Dag180	ERAS10_Dag42	ERAS12_Dag8	ERAS12_Dag1opt
Eubacterium ventriosum	0.000202942250050833	0	0	0.00334682203207369	0	0.000159923652955773	0	0.000562894801929683	0.00350380978430668	0.00170219354726034	0.000166576889289569	0.000124006511834657	0	0.000910209726231629	0	0	0.000285702401206794	0	0.00195913055269987	0.000770046265572776	0	0	0	0	0	0	0	0	0.00225715374021876	0	0	0	0	0	0.000109189558315878	0	0	0	0	0	0	0.000373450533511259	0	0	0	0	0.000393274245078683	0	0	0.000930695000245586	0	0	0	0.00277900225741907	0	0.00073830863023422	0	0	0.00225440753840269
Faecalibacterium prausnitzii	0.00193185411106082	0	0.006131554100001	0.0167230426271936	0.00848567401752674	0.00138600499228337	3.53063886359779e-05	0.00890201573522325	0.125825452114893	0.0523460887439547	0.0270600686299045	0.00270588568131521	8.164209663603e-05	0.0140007088540047	8.77638308531263e-05	0.000361465875236147	0.0255745664139082	8.62034888630003e-05	0.026368350557325	0.00367714753422596	0.00872434925056601	0.00618630235492375	0.00956351028288983	0.00792685041777285	0.000146654869355827	0.0125480905421417	0.0032751715215725	0	0.00566853382486756	7.33266379646678e-05	0.00011877887042674	0.0131354053410722	0.00011809409293066	0.0111149135293957	0.00892033195791428	9.19474212884594e-05	7.10002456478006e-05	0.00639843840653617	7.18689699299672e-05	0.0457749848755546	0.0228320512848014	0.00818634690334473	0.105964495742887	0.000136960084037759	0.00035153717473286	0.000115535604703581	0.0054198106899906	0.0418082475646804	9.30345018761734e-05	0.00492417576307222	0.0221421505643216	0.00668182982957184	0.00012570067583703	0.044639010334913	0.00339557421840303	0.0378887748998946	0.00271608089887295	0.000128184446261641	0.0112431350312647
Finegoldia magna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.56351825343115e-05	0	0	0	0	0	0	0	0	0	0	0
Fusobacterium nucleatum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0100928405481095	0	0	0.000125713421258542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000326601129979883	0	0.000826493154194622	0	0	0	0	0	7.93793620364522e-05	0	0	0	0.000852816267198256	0	0	0	0.00268542352924564	0	0	0	0	0	0
Gemella haemolysans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.22417555852099e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gemella morbillorum	0	8.53853974798833e-05	0	0	0	0.000159923652955773	0	0	0	0	0	0	0	0	0	0	0	0.000113142079132688	0	0	0	0	0	0	0	0.000141862665617753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gemella sanguinis	0	0	0	0	0	0	0	0	0	0	6.94070372039873e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Granulicatella adiacens	0	8.53853974798833e-05	0	0	0	0.000279866392672603	0.000326584094882795	0	0	0	0	0.000248013023669314	0	0	0	0	0	7.54280527551253e-05	0	0	0	0	0	0	0	0.000162128760706004	9.63013396221487e-05	0	0	0	7.55865539079253e-05	0	7.08564557583959e-05	7.50373909157516e-05	0	0.000100120525402989	0	0	0	0	8.43964438817204e-05	0	0	0	0	0	0	0	6.89144458342025e-05	0	0	0	0.00025140135167406	6.86173396893597e-05	0	0	0	0	0
Granulicatella elegans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.00026186499618e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Haemophilus haemolyticus	0	0	7.27133602134716e-05	0	0	0.000159923652955773	0	0	5.63313470145769e-05	6.30442054540867e-05	0	0.00107472310256703	0	0	0.000263291492559379	0	0	0.000113142079132688	0	0	0.000127940875881205	0	0	0	0	0.000202660950882505	8.33376977499364e-05	0	0	0	0.000604692431263403	0	0	0.000150074781831503	0	0.00019070576267236	0	0	0	0	0.000131283357149343	0	8.50864163347484e-05	0	0	0	0	0	9.18859277789367e-05	0.000224509758831172	0	0	0	0	0	0	0	0	0
Haemophilus influenzae	0	0	0	0	0	0.00167919835603562	0	0.000165557294685201	0	0.000273191556967709	0	0.00108505697855325	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000439098726912093	0.000108339007074917	7.96823936443874e-05	0	0	0.00117159158557284	0	0	0.000262630868205131	0	0.00061979372868517	0	0	0	0	0.000191298606131899	0	0.000404160477590055	0	0	0	0	0	0.000206743337502608	0.000281657697442743	0	0	0	0	0	0.000263681653655079	0	0	0
Haemophilus parainfluenzae	0	0.000170770794959767	0.000583105215558032	0.000170756226126208	7.79933273669737e-05	0.00219323866910775	6.53822011777368e-05	0.000320926448159005	0.000512103154677972	0.000940813527545601	0.000332162249476225	0.00670520924705967	0.000276327096306563	8.31241759115643e-05	0.00139795244858908	0	6.40229470491415e-05	0.000893532317253022	0.000140607455935397	0	0.00082856948189733	0	0.000101624152906877	6.21226521769032e-05	0.000627983671344182	0.00337285725397311	0.000542885573913871	0.000236632562943938	0.00014656842468953	0	0.00844409787942823	0	0	0.000588754913338974	0.00014331129528959	0.00164994539312069	0.000113600393036481	0.000197769914383845	0	0.000290223510108243	0.00129407880618638	0.000136931862287462	0.00146774068177441	0.000428000262617997	7.93793620364522e-05	0.000567174786726671	0.000148967517075259	0	0.000821672238792415	0.00169694389142522	6.55939135593272e-05	0	0	0.000464486607127973	5.67870473918173e-05	0.000506436191940706	0	0.000213640743769402	0
Haemophilus pittmaniae	0	0	0.000143154427920272	0	0	0	5.14884834274677e-05	0.000124167971013901	0	0.000399279967875882	9.71698520855821e-05	0.000537361551283514	0	9.35146979005098e-05	0.000307173407985942	0	0	0	0	0	0.000231512061118372	0	0	0	0.000187392333065779	0.00117092993843225	0	0	0	0	0.00170069746292832	0	0	0.000281390215934069	0	0.00144618536693206	0	0	7.18689699299672e-05	0	0.000168792887763441	0	0.000287166655129776	0	0	0	0	0	0	0	0	0	0.00127271934284993	0	0	0	0	0	0
Holdemania filiformis	0.000234164134674038	0.0915929158766708	0.000239954088704456	0	0	0	4.41329857949723e-05	0.000172179586472609	0.00080473352877967	0.000592615531268415	0	0	0	0.00013854029318594	0	0	0.000217855861486662	0	0.000108840586261104	0.000282585785531294	0.00107470335740213	9.56304735036188e-05	0	0	0	0	0	0	0.000137407898146434	0.0004194283691579	0	0.0012545184289727	0	0.000128635527284146	0.000113233616031281	0	0.000766802652996246	0.000139602292506244	0	0.000164690325180471	0	8.71384578192938e-05	0.000354526734728118	0	0	0	0.000285245208621884	0.000434902299572291	0	9.1844901340025e-05	0.00195469862406795	3.8928319825315e-05	0	0.000137234679378719	0	0.000896517622427267	0	0.0120066097998404	0.000117417059291807
Klebsiella oxytoca	0	0.00645513604947917	0	0	0	0	0	0	0	0	0	0	0	0	0.0305856950523145	0	0	0	0	0	0.000127940875881205	0	0	0	0	0.00113490132494203	0	0	0	0	0	0	7.08564557583959e-05	0.000120059825465203	0	0.00379027703311316	0.00175512607241363	0	0.0274395727192615	0	0	0	0	0	0.00286559496951593	0.000508356660695757	0	0	0	0	0	0	0.000293301576953069	0	0	0	0	0.000498495068795271	0
Klebsiella variicola/pneumoniae	0	0.00874488779189805	0.000109070040320207	0	0	0	0	0	0	0	0.000825943742727448	0	0.000103622661114961	0	0.127591057294275	5.64790430056479e-05	0.000112040157335998	0	0	0	0.000156372181632584	0	0	9.31839782653548e-05	0	0.0055647319429821	7.03740558777241e-05	0	0	6.72160848009454e-05	0	0	0	0	0.000106156515029326	0.0349277604334428	0.000246134184912375	0	0.00119781616549945	0	6.75171551053763e-05	0	0	0	0.00920469852281027	0.000779865331749173	5.46214229275949e-05	0	0	0	0	0	0.00289111554425168	0	0	0	0	0.000457801593791575	0
Lachnospiraceae bacterium 1_4_56FAA	0	0	0	0.000361539417044997	0	0	0	0	9.38855783576282e-05	0.000308916606725025	0	0.000186009767751986	0	0	0	0	0	0	9.4519456489906e-05	0	0	8.500486533655e-05	0	0	0	0	0	0	0	0.000322637207044538	0	0	0	0	0	0	0	0	0	5.70081894855477e-05	0	0	0	0	0	0	0	0	0	0	0	0.000314540824188545	0	0	0	6.83619102068722e-05	0	0	0
Lachnospiraceae bacterium 3_1_57FAA_CT1	0.000526869303016586	0	5.45350201601037e-05	0	0	0	0	0	0.00139701740596151	0.00184719521980474	0	0	0	0	0	0	0	0.000215508722157501	0	7.06464463828235e-05	0.000194957525152313	0.000106256081670688	8.67192771472016e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.38148122510613e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactobacillus acidophilus	0	0	0	0	0	0	0	0	0.00145898188767754	0	0	0	0	0	0	0	0	0	0	7.06464463828235e-05	0	0	0	0	0	0	0	0	0	0	0.000243556673703315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000323897895420752	0	0	0	0	0.000240160688912759	0	0	0.000105886817220913	0	0
Lactobacillus casei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000763545328422199	0	0	0	0	0	0	0	0	0	0.00175008144097953	0	3.33350790999746e-05	6.37459149155099e-05	0	0	0	7.16867673698686e-05	0	0	0	0.00202386490636042	0.000142000491295601	0	0	0	0	0	0	0	0	0	0	0	0.000147673812501863	0	0	0	0	0.000240160688912759	0	0	0	0	0
Lactobacillus delbrueckii	0	0	0	0	0	0.000213231537274364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.33274346779135e-05	0	3.33350790999746e-05	0	0	0	0	0	0	0	0	8.17310411452972e-05	0	0	0	0	0	0	0	0	0	0	0	0	0.0011233054670975	0	0	0	0	6.86173396893597e-05	0	0.00073830863023422	0	0	0
Lactobacillus fermentum	0	0	0	9.96077985736216e-05	0	0	0	0	0	0	0	0	0	0	8.77638308531263e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000214543983006405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactobacillus fructivorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000141712911516792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactobacillus gasseri	0	0	0	0	0.000333244216931615	0.00023988547943366	0.000173589744126891	0	0	0	0	0	0.000103622661114961	0	0	0	0	0	0	7.06464463828235e-05	0	0	0	0	0	0	0	0	0	6.45274414089076e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactobacillus helveticus	0	0	0	0	0	0	0	0	0	0	0	0.00021701139571065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactobacillus plantarum	0	0	0	0	0	0	0	0	0	0	0	0	0.00131883386873587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactobacillus rhamnosus	0	0	0	0	0	0	0	0	0	0	0	0	0.000177638847625648	0	0.000157974895535627	0	0	0	0	0	0	0	0	0	8.14749274199038e-05	0	0	0	0	0	0	0	0	0	0	0.000586420220217507	0	0.000155113658340271	7.18689699299672e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactobacillus ruminis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000100923494832605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000135349556662391	0	0	0	0	0	7.03303699014336e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000306650055915814	0	0	0	0
Lactobacillus sakei	0	0	0	0	0	0.000159923652955773	5.14884834274677e-05	6.62229178740804e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.55865539079253e-05	0	0	0	0	7.1514661002135e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactobacillus salivarius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.60200786679989e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.18689699299672e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactobacillus sanfranciscensis	0	0	0	0	0	0	0.000188300739391882	0	0	0	0	0	0	0	0.000109704788566408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactococcus lactis	0.000140498480804423	0	0	9.96077985736216e-05	7.79933273669737e-05	0.000279866392672603	4.41329857949723e-05	0	0.000122904757122713	7.88052568176083e-05	8.67587965049841e-05	0.000124006511834657	0	0	8.77638308531263e-05	0	8.40301180019983e-05	0.000188570131887813	0	0.000117744077304706	0	0	0	0.000199074862657803	0	0	0.000102386314378493	0.000235727081197979	0	0	0.000226759661723776	7.16867673698686e-05	0	0	0	0	0	0	0	0	0	6.22417555852099e-05	0	0.000171200105047199	0	0	0	0	6.89144458342025e-05	0	0	0	0	0	0	0	0	0	0.000666928896777462
Lautropia mirabilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.33350790999746e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leuconostoc citreum	0	8.53853974798833e-05	0	0	0	0	0.00453392874067016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leuconostoc gasicomitatum	0	0	0	0	0	0	4.41329857949723e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.16867673698686e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leuconostoc gelidum	0	0	0	0	0	0	5.88439810599631e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leuconostoc lactis	0	0	0	0	0	0	0.000102976966854935	6.62229178740804e-05	0	0	0	0	0	0	0	0.00948847922494885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.74585514124363e-05	0	0	0	0	0	0	0	0
Leuconostoc mesenteroides	0	0	0	0	0	0.000159923652955773	0	0	0.000211242551304663	0	0	0.000124006511834657	6.90817740766407e-05	0	0	0	5.60200786679989e-05	0	0	9.41952618437646e-05	0	0	0	6.98879836990161e-05	0	0	9.58383524124268e-05	5.31215957629249e-05	0	0	7.55865539079253e-05	0	0	0	0	0	0	0	0	7.60109193140637e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Megasphaera micronuciformis	7.02492404022115e-05	0	0	0	0	0	2.94219905299816e-05	0	6.75976164174923e-05	0	0	0	0.000283235273714227	0	0.00679292050803198	0	0	0	0	0	0	0	0	0	0.000140544249799334	0	0	0	0	0	0	0	7.08564557583959e-05	0	0	0.00523487318535629	0	0	0.00480084719132181	0	0	0	6.38148122510613e-05	0	0.0026512706920175	0.000487816997637343	0	0	0.00742208581634361	0	0	0	0.0263342915878577	0	0	0	6.05067526976648e-05	0.0135234590806031	0
Meiothermus silvanus	0	0	0	0	0	0	3.6777488162477e-05	0	0	0	0	0.00017360911656852	0	0	0	4.23592822542359e-05	0	8.79993948809795e-05	0	0	0	0	0	0	0	0	0	5.31215957629249e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methanobrevibacter smithii	0.000112398784643538	0	0.00220321481446819	0	0	0	5.88439810599631e-05	0	0	0	0	0	0	0.00018702939580102	0	0.000137667667326267	0	0.00071656650117369	0	0	0.00170587834508274	0	0.00345793117624466	0	0	0	0	0	0	0.00011352049877493	0	0	0	0.000233449660626783	0.00810186522703817	0	0	0.000139602292506244	0	0	0	0.000103736259308683	0	8.56000525235993e-05	0	0	6.82767786594936e-05	0	0	6.12299342266833e-05	0	0	0	0	0	0	0	0	0.000328767766017059
Methanosphaera stadtmanae	0	0	0.000169664507164767	0	0	0	0	0	0	0	0	0	0	0	0	0.000876837142662684	0	0	0	0	0.000106617396567671	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000219390131060607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mitsuokella multacida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000257208209925243	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00417384798329857	0	0	0	0
Odoribacter splanchnicus	0.00324551490658217	0	0.00177784165721938	0.00366556698750927	0.00264397379774041	0.000159923652955773	0	0.0029667867207588	0	0	0.0027207558583963	0	0	0.00244385077179999	0	0	0.00419030188436631	0	0.00258811457225088	0.00209113481293158	0.00109176214085295	0.000618410395323401	0.00145796784703733	0.000978431771786225	0	0	4.2859387414253e-05	0	0.00367153903847272	0.00127441696782593	0	0	0.00444978542162726	0.000862929995531143	0.000668786044684755	0	0	0.000307125043513736	8.62427639159606e-05	0.00350030283441263	0.00244187044297778	0.0047739426533856	0.00128905920747144	0	0	0	0.00444072168401346	0.00482552464568908	0	0.000287780690865412	0	0.00568976322566803	0.00012570067583703	0	0.00088587793931235	0	0.00679490832794775	0.000198380690643016	0.00178473930123546
Olsenella uli	0.0038215586778803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.16867673698686e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000193621608632527	0	0
Oribacterium sinus	0	0	0	0	0	0	0	0	0	0	6.94070372039873e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oxalobacter formigenes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.37536490024125e-05	8.12993223255015e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parabacteroides distasonis	0.00806461279817387	0.0992690631101123	0.00464638371764084	0.0163135438997242	0.012112363740091	0.000293193363752251	0	0.00249660400385283	0	0	0.00203593975798363	0.000148807814201588	6.90817740766407e-05	0.0044450653068709	0	4.23592822542359e-05	0.0103076944749118	0.0219747060359932	0.00522434814053299	0.0148074951618398	0.00191058374649267	0.0107743666814077	0.00171029685484759	0.00799311458009488	0	0	6.66701581999491e-05	0	0.00578212435400195	0.0095339294681661	0	0.00924759299071305	0.0484579427992141	0.00136568051466668	0.0011337515805132	0	0.00299147701662733	0.00174968206607825	7.18689699299672e-05	0.0183110304627579	0.00123781451026523	0.0113715687454178	0.00477334795637939	0	0	0	0.00396915673273856	0.00705676253045127	0	0.00172668414519247	0	0.112465473108128	0.000301681622008871	0	0.00300971351176632	0	0.0852661159015492	0.0485712230959735	0.00190685304289894
Parabacteroides merdae	0.00624437692464102	0	0.00846928863086411	0.000448235093581297	7.79933273669737e-05	0.000287862575320392	2.94219905299816e-05	0.00682096054103028	0	0	0.00170741311521809	0	0	0.00241267920583315	0	9.07698905447913e-05	0	0.000150856105510251	0.00147965912796016	0.0177463873313653	0.00542469313736311	0.00771419152929191	0.00298639510675676	7.57119823406007e-05	0	0	4.66691107399644e-05	0	0.0132278003282301	0.00602256119816471	0	0	0	0.00197348338108427	0.00249680123348975	0	0	0.00258729582111572	0	5.70081894855477e-05	0.00942114377257427	0.020894557349955	0.0114994291676412	8.56000525235993e-05	0	0.000154047472938108	0.0049219971104755	0.0223653234753959	0.00207509053567432	0.00983965043022801	0.0651760560359122	4.35997182043527e-05	0	0.0346441323942723	0.00442938969656175	0.00857453673737626	0	0.00594989471397784	0.0135264452304161
Paraprevotella xylaniphila	0.00121430829838108	0	0.00342012483575508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0113197213041562	0	0	0	0	0	0	0	0.0383695197490804	0	0	0	0	0	0.00115558949217638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parasutterella excrementihominis	0	0.0076099735503946	0.000539290754916581	0.014741954188896	0.00967117259350474	0	0	0.00498879314651405	0.0130688725073818	0.0096947978164951	0.000223644897657292	0	0.0111428901585622	0.00932376173141379	0.0216776662207222	0	0.00099715740029038	0	0.000429633893135936	0.000223713746878941	0.00092875598787838	0	0	0	7.33274346779135e-05	0	0	0	0	0.0112116429447977	0	0.000549598549835659	0	0.00514944095159345	7.64326908211148e-05	0	0	0	0	0.0010204465917913	0.000112528591842294	0.000147824169514873	0	0	0.00968428216844717	0	0.0127704886804717	0.000243713365943893	0	0.000153074835566708	0	0.000221112856607789	0.0331472682182247	0	0.000454296379134539	0	0.000235304038268696	0.00197024241476226	0.000117417059291807
Parvimonas micra	0	0	0	0	0	0.00023988547943366	0	0	0	0	0	0.000372019535503971	0	0	0	0	0	0.000766851869677107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.43964438817204e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parvimonas sp. oral taxon 110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000603424422041002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pediococcus acidilactici	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000267679943976162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pediococcus pentosaceus	0	0	0	0	0	0	0	0	0	0	6.94070372039873e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00022334502996983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000214400498150852	0	0	0	0	0	0	0	0	0	0
Peptoniphilus duerdenii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.19321343913923e-05	0	0	0	0	0	0	0	0	0	0	0	0
Peptoniphilus lacrimalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000113452773801467	0	0	0	0	0	0	0	0	0	0	0
Peptostreptococcus stomatis	0	0	0	0	0	0	2.94219905299816e-05	0	0	0	0	0.000124006511834657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Porphyromonas asaccharolytica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000127940875881205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.38148122510613e-05	0	0	0	0	0.000113452773801467	0	0	0	0	0	0	0	5.85959230344619e-05	0	0	0
Prevotella bivia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.31215957629249e-05	0	0	0	0	0	0	0	0	0	0	7.18689699299672e-05	0	0	0	0	0	0	0.000148545777476033	0	0.000400866467431851	7.875936666766e-05	0	0	3.1142655860252e-05	0	0	0	0	0	0	0
Prevotella buccae	0	0	0	0	0	0	0	0	0	0	0.000104110555805981	0	0	0	0.000252321013702738	0	0.000112040157335998	0	0	0	0.00714763026589668	0	0	0	0	0	5.23836957285314e-05	0	0	0	0	8.36345619315133e-05	0	0	0	0.270790263884584	0	0	0	0	0	0	0	0	0	0	0	0	0.000103371668751304	0	0	0.00170973180672783	0	0	0	0	0	0	0
Prevotella copri	0.000161573252925086	0.00025615619243965	0	0	7.79933273669737e-05	0	9.15350816488315e-05	0	0	0	0.117526936097512	0	6.90817740766407e-05	0.00019593555750583	8.77638308531263e-05	0.00014119760751412	7.00250983349986e-05	0.000392225874326651	0	0.0383374715704122	0	0.000140258027805308	0.279891886947415	0.000119068416672398	0.000139671304148407	0	0.000160008379679878	0.000147559988230347	0.0520134697116968	0.00112385293787181	0	0.00011469882779179	0	0.512220237869104	0.0296112983022802	0.000107271991503203	0.000183022855447664	0.383589872529156	0	0	0.402852358795412	0.176057029848325	0.000178681474302972	0.000256800157570798	0.000373083001571326	0.000450588858343967	0.326783586948922	0.000347921839657833	0	0.447045872782438	0	0.000133913420199083	0.000298539105112946	0	0.593771046233581	0	0.000169418907553461	0.000356067906282336	0.107582206405525
Prevotella melaninogenica	0	0	0	0	0	0.000159923652955773	0.000278171546828917	0	0	0	0	0.000930048838759928	0	0	0	0	0	7.54280527551253e-05	0	0	0	0	0	0	0	0	5.71458498856707e-05	0	0	5.37728678407564e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000154047472938108	0	0	0	0	0	0	0	0	0	0	0	0	0
